"",".id","comment","stats.goals","stats.shoton","event_incident_typefk","elapsed","player1","sortorder","team","id","n","type","goal_type"
"1","value","n","1","1","71","4","340790","0","7896","5639935","6","goal","n"
"2","value","p","1","1","20","11","178142","0","7896","5639941","25","goal","p"
"3","value","n","1","1","71","75","614454","0","7896","5640019","19","goal","n"
