"",".id","comment","stats.goals","stats.shoton","event_incident_typefk","elapsed","player1","sortorder","team","id","n","type","goal_type"
"1","value","n","1","1","71","19","25843","0","10192","5639949","6","goal","n"
"2","value","n","1","1","71","58","245161","0","10192","5640001","13","goal","n"
"3","value","n","1","1","71","71","37554","0","10192","5640015","17","goal","n"
