"",".id","comment","stats.goals","stats.shoton","event_incident_typefk","elapsed","player1","sortorder","team","id","n","type","goal_type"
"1","value","n","1","1","71","10","34035","0","9931","5632899","7","goal","n"
"2","value","n","1","1","71","31","402975","0","9931","5633004","12","goal","n"
"3","value","n","1","1","71","44","402975","0","9931","5633050","13","goal","n"
"4","value","n","1","1","71","80","25860","0","10192","5633185","29","goal","n"
"5","value","n","1","1","71","90","37554","0","10192","5633219","36","goal","n"
